,Dates,Start (ET),Visitor/Neutral,PTS,Home/Neutral,PTS,Box_Score,OT?,Attend.,Notes
197,"Sat, Dec 28, 2019",8:30p,Orlando Magic,100,Milwaukee Bucks,111,Box Score,,"17,920",
198,"Sat, Dec 28, 2019",8:30p,Detroit Pistons,109,San Antonio Spurs,136,Box Score,,"18,524",
199,"Sat, Dec 28, 2019",9:00p,Phoenix Suns,112,Sacramento Kings,110,Box Score,,"17,583",
200,"Sat, Dec 28, 2019",10:00p,Los Angeles Lakers,128,Portland Trail Blazers,120,Box Score,,"19,960",
201,"Sat, Dec 28, 2019",10:30p,Utah Jazz,120,Los Angeles Clippers,107,Box Score,,"19,068",
202,"Sun, Dec 29, 2019",6:00p,Oklahoma City Thunder,98,Toronto Raptors,97,Box Score,,"19,800",
203,"Sun, Dec 29, 2019",8:00p,Sacramento Kings,115,Denver Nuggets,120,Box Score,,"19,520",
204,"Sun, Dec 29, 2019",8:00p,Charlotte Hornets,104,Memphis Grizzlies,117,Box Score,,"16,842",
205,"Sun, Dec 29, 2019",8:00p,Houston Rockets,112,New Orleans Pelicans,127,Box Score,,"17,712",
206,"Sun, Dec 29, 2019",9:30p,Dallas Mavericks,95,Los Angeles Lakers,108,Box Score,,"18,997",
207,"Mon, Dec 30, 2019",7:00p,Atlanta Hawks,101,Orlando Magic,93,Box Score,,"17,784",
208,"Mon, Dec 30, 2019",7:00p,Miami Heat,105,Washington Wizards,123,Box Score,,"20,476",
209,"Mon, Dec 30, 2019",8:00p,Milwaukee Bucks,123,Chicago Bulls,102,Box Score,,"21,954",
210,"Mon, Dec 30, 2019",8:00p,Brooklyn Nets,115,Minnesota Timberwolves,122,Box Score,OT,"15,824",
211,"Mon, Dec 30, 2019",9:00p,Detroit Pistons,81,Utah Jazz,104,Box Score,,"18,306",
212,"Mon, Dec 30, 2019",10:00p,Phoenix Suns,122,Portland Trail Blazers,116,Box Score,,"19,896",
213,"Tue, Dec 31, 2019",3:00p,Boston Celtics,109,Charlotte Hornets,92,Box Score,,"19,216",
214,"Tue, Dec 31, 2019",3:00p,Philadelphia 76ers,97,Indiana Pacers,115,Box Score,,"17,923",
215,"Tue, Dec 31, 2019",5:00p,Los Angeles Clippers,105,Sacramento Kings,87,Box Score,,"16,231",
216,"Tue, Dec 31, 2019",7:00p,Denver Nuggets,104,Houston Rockets,130,Box Score,,"18,055",
217,"Tue, Dec 31, 2019",7:00p,Golden State Warriors,113,San Antonio Spurs,117,Box Score,OT,"18,354",
218,"Tue, Dec 31, 2019",7:00p,Cleveland Cavaliers,97,Toronto Raptors,117,Box Score,,"19,800",
219,"Tue, Dec 31, 2019",8:00p,Dallas Mavericks,101,Oklahoma City Thunder,106,Box Score,,"18,203",
0,"Wed, Jan 1, 2020",6:00p,Orlando Magic,122,Washington Wizards,101,Box Score,,"14,921",
1,"Wed, Jan 1, 2020",7:30p,Portland Trail Blazers,93,New York Knicks,117,Box Score,,"19,812",
2,"Wed, Jan 1, 2020",8:00p,Minnesota Timberwolves,104,Milwaukee Bucks,106,Box Score,,"17,819",
3,"Wed, Jan 1, 2020",10:30p,Phoenix Suns,107,Los Angeles Lakers,117,Box Score,,"18,997",
4,"Thu, Jan 2, 2020",7:00p,Charlotte Hornets,109,Cleveland Cavaliers,106,Box Score,,"17,859",
5,"Thu, Jan 2, 2020",7:00p,Denver Nuggets,124,Indiana Pacers,116,Box Score,,"16,688",
6,"Thu, Jan 2, 2020",7:30p,Toronto Raptors,76,Miami Heat,84,Box Score,,"19,939",
7,"Thu, Jan 2, 2020",8:00p,Utah Jazz,102,Chicago Bulls,98,Box Score,,"19,398",
8,"Thu, Jan 2, 2020",8:00p,Golden State Warriors,84,Minnesota Timberwolves,99,Box Score,,"15,477",
9,"Thu, Jan 2, 2020",8:30p,Brooklyn Nets,111,Dallas Mavericks,123,Box Score,,"20,289",
10,"Thu, Jan 2, 2020",8:30p,Oklahoma City Thunder,109,San Antonio Spurs,103,Box Score,,"18,354",
11,"Thu, Jan 2, 2020",10:00p,Memphis Grizzlies,123,Sacramento Kings,128,Box Score,,"17,351",
12,"Thu, Jan 2, 2020",10:30p,Detroit Pistons,112,Los Angeles Clippers,126,Box Score,,"19,068",
13,"Fri, Jan 3, 2020",7:00p,Atlanta Hawks,106,Boston Celtics,109,Box Score,,"19,156",
14,"Fri, Jan 3, 2020",7:00p,Miami Heat,85,Orlando Magic,105,Box Score,,"17,198",
15,"Fri, Jan 3, 2020",7:00p,Portland Trail Blazers,122,Washington Wizards,103,Box Score,,"17,945",
16,"Fri, Jan 3, 2020",8:00p,Philadelphia 76ers,108,Houston Rockets,118,Box Score,,"18,055",
17,"Fri, Jan 3, 2020",9:00p,New York Knicks,112,Phoenix Suns,120,Box Score,,"18,055",
18,"Fri, Jan 3, 2020",10:30p,New Orleans Pelicans,113,Los Angeles Lakers,123,Box Score,,"18,997",
19,"Sat, Jan 4, 2020",3:30p,Memphis Grizzlies,140,Los Angeles Clippers,114,Box Score,,"19,068",
20,"Sat, Jan 4, 2020",6:00p,Toronto Raptors,121,Brooklyn Nets,102,Box Score,,"17,732",
21,"Sat, Jan 4, 2020",7:00p,Utah Jazz,109,Orlando Magic,96,Box Score,,"16,913",
22,"Sat, Jan 4, 2020",7:30p,Indiana Pacers,111,Atlanta Hawks,116,Box Score,,"16,420",
23,"Sat, Jan 4, 2020",7:30p,Oklahoma City Thunder,121,Cleveland Cavaliers,106,Box Score,,"19,432",
24,"Sat, Jan 4, 2020",8:00p,Boston Celtics,111,Chicago Bulls,104,Box Score,,"21,130",
25,"Sat, Jan 4, 2020",8:00p,Denver Nuggets,114,Washington Wizards,128,Box Score,,"16,233",
26,"Sat, Jan 4, 2020",8:30p,Charlotte Hornets,123,Dallas Mavericks,120,Box Score,OT,"20,327",
27,"Sat, Jan 4, 2020",8:30p,Detroit Pistons,111,Golden State Warriors,104,Box Score,,"18,064",
28,"Sat, Jan 4, 2020",8:30p,San Antonio Spurs,118,Milwaukee Bucks,127,Box Score,,"18,002",
29,"Sat, Jan 4, 2020",10:00p,New Orleans Pelicans,117,Sacramento Kings,115,Box Score,,"16,808",
30,"Sun, Jan 5, 2020",3:30p,New York Knicks,,Los Angeles Clippers,,,,,
31,"Sun, Jan 5, 2020",6:00p,Portland Trail Blazers,,Miami Heat,,,,,
32,"Sun, Jan 5, 2020",7:30p,Minnesota Timberwolves,,Cleveland Cavaliers,,,,,
33,"Sun, Jan 5, 2020",8:00p,Memphis Grizzlies,,Phoenix Suns,,,,,
34,"Sun, Jan 5, 2020",10:00p,Detroit Pistons,,Los Angeles Lakers,,,,,
35,"Mon, Jan 6, 2020",7:00p,Indiana Pacers,,Charlotte Hornets,,,,,
36,"Mon, Jan 6, 2020",7:00p,Brooklyn Nets,,Orlando Magic,,,,,
37,"Mon, Jan 6, 2020",7:00p,Oklahoma City Thunder,,Philadelphia 76ers,,,,,
38,"Mon, Jan 6, 2020",7:00p,Boston Celtics,,Washington Wizards,,,,,
39,"Mon, Jan 6, 2020",7:30p,Denver Nuggets,,Atlanta Hawks,,,,,
40,"Mon, Jan 6, 2020",8:00p,Utah Jazz,,New Orleans Pelicans,,,,,
41,"Mon, Jan 6, 2020",8:30p,Chicago Bulls,,Dallas Mavericks,,,,,
42,"Mon, Jan 6, 2020",8:30p,Milwaukee Bucks,,San Antonio Spurs,,,,,
43,"Mon, Jan 6, 2020",10:00p,Golden State Warriors,,Sacramento Kings,,,,,
44,"Tue, Jan 7, 2020",7:00p,Detroit Pistons,,Cleveland Cavaliers,,,,,
45,"Tue, Jan 7, 2020",7:00p,Portland Trail Blazers,,Toronto Raptors,,,,,
46,"Tue, Jan 7, 2020",7:30p,Oklahoma City Thunder,,Brooklyn Nets,,,,,
47,"Tue, Jan 7, 2020",8:00p,Minnesota Timberwolves,,Memphis Grizzlies,,,,,
48,"Tue, Jan 7, 2020",9:00p,Sacramento Kings,,Phoenix Suns,,,,,
49,"Tue, Jan 7, 2020",10:30p,New York Knicks,,Los Angeles Lakers,,,,,
50,"Wed, Jan 8, 2020",7:00p,San Antonio Spurs,,Boston Celtics,,,,,
51,"Wed, Jan 8, 2020",7:00p,Toronto Raptors,,Charlotte Hornets,,,,,
52,"Wed, Jan 8, 2020",7:00p,Miami Heat,,Indiana Pacers,,,,,
53,"Wed, Jan 8, 2020",7:00p,Washington Wizards,,Orlando Magic,,,,,
54,"Wed, Jan 8, 2020",7:30p,Houston Rockets,,Atlanta Hawks,,,,,
55,"Wed, Jan 8, 2020",7:30p,Denver Nuggets,,Dallas Mavericks,,,,,
56,"Wed, Jan 8, 2020",8:00p,Chicago Bulls,,New Orleans Pelicans,,,,,
57,"Wed, Jan 8, 2020",9:00p,New York Knicks,,Utah Jazz,,,,,
58,"Wed, Jan 8, 2020",10:00p,Milwaukee Bucks,,Golden State Warriors,,,,,
59,"Thu, Jan 9, 2020",7:00p,Cleveland Cavaliers,,Detroit Pistons,,,,,
60,"Thu, Jan 9, 2020",7:00p,Boston Celtics,,Philadelphia 76ers,,,,,
61,"Thu, Jan 9, 2020",8:00p,Portland Trail Blazers,,Minnesota Timberwolves,,,,,
62,"Thu, Jan 9, 2020",9:30p,Houston Rockets,,Oklahoma City Thunder,,,,,
63,"Fri, Jan 10, 2020",7:00p,Atlanta Hawks,,Washington Wizards,,,,,
64,"Fri, Jan 10, 2020",7:30p,Miami Heat,,Brooklyn Nets,,,,,
65,"Fri, Jan 10, 2020",8:00p,Indiana Pacers,,Chicago Bulls,,,,,
66,"Fri, Jan 10, 2020",8:00p,San Antonio Spurs,,Memphis Grizzlies,,,,,
67,"Fri, Jan 10, 2020",8:00p,New Orleans Pelicans,,New York Knicks,,,,,
68,"Fri, Jan 10, 2020",8:30p,Los Angeles Lakers,,Dallas Mavericks,,,,,
69,"Fri, Jan 10, 2020",9:00p,Orlando Magic,,Phoenix Suns,,,,,
70,"Fri, Jan 10, 2020",9:00p,Charlotte Hornets,,Utah Jazz,,,,,
71,"Fri, Jan 10, 2020",10:00p,Milwaukee Bucks,,Sacramento Kings,,,,,
72,"Fri, Jan 10, 2020",10:30p,Golden State Warriors,,Los Angeles Clippers,,,,,
73,"Sat, Jan 11, 2020",5:00p,Minnesota Timberwolves,,Houston Rockets,,,,,
74,"Sat, Jan 11, 2020",7:00p,New Orleans Pelicans,,Boston Celtics,,,,,
75,"Sat, Jan 11, 2020",7:00p,Chicago Bulls,,Detroit Pistons,,,,,
76,"Sat, Jan 11, 2020",8:00p,Los Angeles Lakers,,Oklahoma City Thunder,,,,,
77,"Sat, Jan 11, 2020",8:30p,Philadelphia 76ers,,Dallas Mavericks,,,,,
78,"Sat, Jan 11, 2020",9:00p,Cleveland Cavaliers,,Denver Nuggets,,,,,
79,"Sat, Jan 11, 2020",10:00p,Milwaukee Bucks,,Portland Trail Blazers,,,,,
80,"Sun, Jan 12, 2020",3:30p,Miami Heat,,New York Knicks,,,,,
81,"Sun, Jan 12, 2020",3:30p,Utah Jazz,,Washington Wizards,,,,,
82,"Sun, Jan 12, 2020",6:00p,Atlanta Hawks,,Brooklyn Nets,,,,,
83,"Sun, Jan 12, 2020",6:00p,Golden State Warriors,,Memphis Grizzlies,,,,,
84,"Sun, Jan 12, 2020",6:00p,San Antonio Spurs,,Toronto Raptors,,,,,
85,"Sun, Jan 12, 2020",8:00p,Los Angeles Clippers,,Denver Nuggets,,,,,
86,"Sun, Jan 12, 2020",8:00p,Charlotte Hornets,,Phoenix Suns,,,,,
87,"Mon, Jan 13, 2020",7:00p,New Orleans Pelicans,,Detroit Pistons,,,,,
88,"Mon, Jan 13, 2020",7:00p,Philadelphia 76ers,,Indiana Pacers,,,,,
89,"Mon, Jan 13, 2020",7:30p,Chicago Bulls,,Boston Celtics,,,,,
90,"Mon, Jan 13, 2020",8:00p,Oklahoma City Thunder,,Minnesota Timberwolves,,,,,
91,"Mon, Jan 13, 2020",10:00p,Charlotte Hornets,,Portland Trail Blazers,,,,,
92,"Mon, Jan 13, 2020",10:00p,Orlando Magic,,Sacramento Kings,,,,,
93,"Mon, Jan 13, 2020",10:30p,Cleveland Cavaliers,,Los Angeles Lakers,,,,,
94,"Tue, Jan 14, 2020",7:30p,Phoenix Suns,,Atlanta Hawks,,,,,
95,"Tue, Jan 14, 2020",7:30p,Utah Jazz,,Brooklyn Nets,,,,,
96,"Tue, Jan 14, 2020",8:00p,Houston Rockets,,Memphis Grizzlies,,,,,
97,"Tue, Jan 14, 2020",8:00p,New York Knicks,,Milwaukee Bucks,,,,,
98,"Tue, Jan 14, 2020",10:30p,Dallas Mavericks,,Golden State Warriors,,,,,
99,"Tue, Jan 14, 2020",10:30p,Cleveland Cavaliers,,Los Angeles Clippers,,,,,
100,"Wed, Jan 15, 2020",7:00p,Detroit Pistons,,Boston Celtics,,,,,
101,"Wed, Jan 15, 2020",7:00p,Brooklyn Nets,,Philadelphia 76ers,,,,,
102,"Wed, Jan 15, 2020",7:30p,San Antonio Spurs,,Miami Heat,,,,,
103,"Wed, Jan 15, 2020",8:00p,Washington Wizards,,Chicago Bulls,,,,,
104,"Wed, Jan 15, 2020",8:00p,Indiana Pacers,,Minnesota Timberwolves,,,,,
105,"Wed, Jan 15, 2020",8:00p,Toronto Raptors,,Oklahoma City Thunder,,,,,
106,"Wed, Jan 15, 2020",9:00p,Charlotte Hornets,,Denver Nuggets,,,,,
107,"Wed, Jan 15, 2020",9:30p,Portland Trail Blazers,,Houston Rockets,,,,,
108,"Wed, Jan 15, 2020",10:00p,Dallas Mavericks,,Sacramento Kings,,,,,
109,"Wed, Jan 15, 2020",10:30p,Orlando Magic,,Los Angeles Lakers,,,,,
110,"Thu, Jan 16, 2020",7:30p,Phoenix Suns,,New York Knicks,,,,,
111,"Thu, Jan 16, 2020",8:00p,Boston Celtics,,Milwaukee Bucks,,,,,
112,"Thu, Jan 16, 2020",8:00p,Utah Jazz,,New Orleans Pelicans,,,,,
113,"Thu, Jan 16, 2020",10:30p,Denver Nuggets,,Golden State Warriors,,,,,
114,"Thu, Jan 16, 2020",10:30p,Orlando Magic,,Los Angeles Clippers,,,,,
115,"Fri, Jan 17, 2020",7:00p,Minnesota Timberwolves,,Indiana Pacers,,,,,
116,"Fri, Jan 17, 2020",7:00p,Chicago Bulls,,Philadelphia 76ers,,,,,
117,"Fri, Jan 17, 2020",7:00p,Washington Wizards,,Toronto Raptors,,,,,
118,"Fri, Jan 17, 2020",8:00p,Cleveland Cavaliers,,Memphis Grizzlies,,,,,
119,"Fri, Jan 17, 2020",8:00p,Miami Heat,,Oklahoma City Thunder,,,,,
120,"Fri, Jan 17, 2020",8:30p,Atlanta Hawks,,San Antonio Spurs,,,,,
121,"Fri, Jan 17, 2020",9:30p,Portland Trail Blazers,,Dallas Mavericks,,,,,
122,"Sat, Jan 18, 2020",3:30p,Los Angeles Clippers,,New Orleans Pelicans,,,,,
123,"Sat, Jan 18, 2020",6:00p,Milwaukee Bucks,,Brooklyn Nets,,,,,
124,"Sat, Jan 18, 2020",7:00p,Phoenix Suns,,Boston Celtics,,,,,
125,"Sat, Jan 18, 2020",7:30p,Detroit Pistons,,Atlanta Hawks,,,,,
126,"Sat, Jan 18, 2020",7:30p,Philadelphia 76ers,,New York Knicks,,,,,
127,"Sat, Jan 18, 2020",8:00p,Cleveland Cavaliers,,Chicago Bulls,,,,,
128,"Sat, Jan 18, 2020",8:00p,Toronto Raptors,,Minnesota Timberwolves,,,,,
129,"Sat, Jan 18, 2020",8:30p,Orlando Magic,,Golden State Warriors,,,,,
130,"Sat, Jan 18, 2020",8:30p,Los Angeles Lakers,,Houston Rockets,,,,,
131,"Sat, Jan 18, 2020",9:00p,Portland Trail Blazers,,Oklahoma City Thunder,,,,,
132,"Sat, Jan 18, 2020",9:00p,Sacramento Kings,,Utah Jazz,,,,,
133,"Sun, Jan 19, 2020",3:00p,Miami Heat,,San Antonio Spurs,,,,,
134,"Sun, Jan 19, 2020",8:00p,Indiana Pacers,,Denver Nuggets,,,,,
135,"Mon, Jan 20, 2020",2:00p,Detroit Pistons,,Washington Wizards,,,,,
136,"Mon, Jan 20, 2020",2:30p,Toronto Raptors,,Atlanta Hawks,,,,,
137,"Mon, Jan 20, 2020",3:00p,Philadelphia 76ers,,Brooklyn Nets,,,,,
138,"Mon, Jan 20, 2020",5:00p,Orlando Magic,,Charlotte Hornets,,,,,
139,"Mon, Jan 20, 2020",5:00p,New York Knicks,,Cleveland Cavaliers,,,,,
140,"Mon, Jan 20, 2020",5:00p,Oklahoma City Thunder,,Houston Rockets,,,,,
141,"Mon, Jan 20, 2020",5:00p,New Orleans Pelicans,,Memphis Grizzlies,,,,,
142,"Mon, Jan 20, 2020",5:00p,Sacramento Kings,,Miami Heat,,,,,
143,"Mon, Jan 20, 2020",5:00p,Chicago Bulls,,Milwaukee Bucks,,,,,
144,"Mon, Jan 20, 2020",7:30p,Los Angeles Lakers,,Boston Celtics,,,,,
145,"Mon, Jan 20, 2020",8:00p,Denver Nuggets,,Minnesota Timberwolves,,,,,
146,"Mon, Jan 20, 2020",9:00p,San Antonio Spurs,,Phoenix Suns,,,,,
147,"Mon, Jan 20, 2020",9:00p,Indiana Pacers,,Utah Jazz,,,,,
148,"Mon, Jan 20, 2020",10:00p,Golden State Warriors,,Portland Trail Blazers,,,,,
149,"Tue, Jan 21, 2020",8:30p,Los Angeles Clippers,,Dallas Mavericks,,,,,
150,"Wed, Jan 22, 2020",7:00p,Sacramento Kings,,Detroit Pistons,,,,,
151,"Wed, Jan 22, 2020",7:00p,Oklahoma City Thunder,,Orlando Magic,,,,,
152,"Wed, Jan 22, 2020",7:30p,Los Angeles Clippers,,Atlanta Hawks,,,,,
153,"Wed, Jan 22, 2020",7:30p,Memphis Grizzlies,,Boston Celtics,,,,,
154,"Wed, Jan 22, 2020",7:30p,Washington Wizards,,Miami Heat,,,,,
155,"Wed, Jan 22, 2020",7:30p,Los Angeles Lakers,,New York Knicks,,,,,
156,"Wed, Jan 22, 2020",7:30p,Philadelphia 76ers,,Toronto Raptors,,,,,
157,"Wed, Jan 22, 2020",8:00p,Minnesota Timberwolves,,Chicago Bulls,,,,,
158,"Wed, Jan 22, 2020",8:00p,Denver Nuggets,,Houston Rockets,,,,,
159,"Wed, Jan 22, 2020",8:00p,San Antonio Spurs,,New Orleans Pelicans,,,,,
160,"Wed, Jan 22, 2020",9:00p,Indiana Pacers,,Phoenix Suns,,,,,
161,"Wed, Jan 22, 2020",10:00p,Utah Jazz,,Golden State Warriors,,,,,
162,"Thu, Jan 23, 2020",7:00p,Washington Wizards,,Cleveland Cavaliers,,,,,
163,"Thu, Jan 23, 2020",8:00p,Los Angeles Lakers,,Brooklyn Nets,,,,,
164,"Thu, Jan 23, 2020",10:30p,Dallas Mavericks,,Portland Trail Blazers,,,,,
165,"Fri, Jan 24, 2020",3:00p,Milwaukee Bucks,,Charlotte Hornets,,,,,"at Paris, France"
166,"Fri, Jan 24, 2020",7:00p,Memphis Grizzlies,,Detroit Pistons,,,,,
167,"Fri, Jan 24, 2020",7:00p,Boston Celtics,,Orlando Magic,,,,,
168,"Fri, Jan 24, 2020",7:30p,Toronto Raptors,,New York Knicks,,,,,
169,"Fri, Jan 24, 2020",8:00p,Sacramento Kings,,Chicago Bulls,,,,,
170,"Fri, Jan 24, 2020",8:00p,Los Angeles Clippers,,Miami Heat,,,,,
171,"Fri, Jan 24, 2020",8:00p,Houston Rockets,,Minnesota Timberwolves,,,,,
172,"Fri, Jan 24, 2020",8:00p,Denver Nuggets,,New Orleans Pelicans,,,,,
173,"Fri, Jan 24, 2020",8:00p,Atlanta Hawks,,Oklahoma City Thunder,,,,,
174,"Fri, Jan 24, 2020",8:30p,Phoenix Suns,,San Antonio Spurs,,,,,
175,"Fri, Jan 24, 2020",10:30p,Indiana Pacers,,Golden State Warriors,,,,,
176,"Sat, Jan 25, 2020",5:00p,Dallas Mavericks,,Utah Jazz,,,,,
177,"Sat, Jan 25, 2020",7:00p,Brooklyn Nets,,Detroit Pistons,,,,,
178,"Sat, Jan 25, 2020",8:00p,Chicago Bulls,,Cleveland Cavaliers,,,,,
179,"Sat, Jan 25, 2020",8:00p,Oklahoma City Thunder,,Minnesota Timberwolves,,,,,
180,"Sat, Jan 25, 2020",8:30p,Los Angeles Lakers,,Philadelphia 76ers,,,,,
181,"Sun, Jan 26, 2020",3:30p,Houston Rockets,,Denver Nuggets,,,,,
182,"Sun, Jan 26, 2020",4:00p,Toronto Raptors,,San Antonio Spurs,,,,,
183,"Sun, Jan 26, 2020",6:00p,Washington Wizards,,Atlanta Hawks,,,,,
184,"Sun, Jan 26, 2020",6:00p,Phoenix Suns,,Memphis Grizzlies,,,,,
185,"Sun, Jan 26, 2020",6:00p,Boston Celtics,,New Orleans Pelicans,,,,,
186,"Sun, Jan 26, 2020",6:00p,Brooklyn Nets,,New York Knicks,,,,,
187,"Sun, Jan 26, 2020",6:00p,Los Angeles Clippers,,Orlando Magic,,,,,
188,"Sun, Jan 26, 2020",9:00p,Indiana Pacers,,Portland Trail Blazers,,,,,
189,"Mon, Jan 27, 2020",7:00p,Cleveland Cavaliers,,Detroit Pistons,,,,,
190,"Mon, Jan 27, 2020",7:30p,Orlando Magic,,Miami Heat,,,,,
191,"Mon, Jan 27, 2020",8:00p,San Antonio Spurs,,Chicago Bulls,,,,,
192,"Mon, Jan 27, 2020",8:00p,Sacramento Kings,,Minnesota Timberwolves,,,,,
193,"Mon, Jan 27, 2020",8:00p,Dallas Mavericks,,Oklahoma City Thunder,,,,,
194,"Mon, Jan 27, 2020",9:00p,Houston Rockets,,Utah Jazz,,,,,
195,"Tue, Jan 28, 2020",7:00p,New York Knicks,,Charlotte Hornets,,,,,
196,"Tue, Jan 28, 2020",7:00p,Golden State Warriors,,Philadelphia 76ers,,,,,
197,"Tue, Jan 28, 2020",7:30p,New Orleans Pelicans,,Cleveland Cavaliers,,,,,
198,"Tue, Jan 28, 2020",7:30p,Boston Celtics,,Miami Heat,,,,,
199,"Tue, Jan 28, 2020",7:30p,Atlanta Hawks,,Toronto Raptors,,,,,
200,"Tue, Jan 28, 2020",8:00p,Denver Nuggets,,Memphis Grizzlies,,,,,
201,"Tue, Jan 28, 2020",8:00p,Washington Wizards,,Milwaukee Bucks,,,,,
202,"Tue, Jan 28, 2020",8:30p,Phoenix Suns,,Dallas Mavericks,,,,,
203,"Tue, Jan 28, 2020",10:00p,Los Angeles Clippers,,Los Angeles Lakers,,,,,
204,"Wed, Jan 29, 2020",7:00p,Chicago Bulls,,Indiana Pacers,,,,,
205,"Wed, Jan 29, 2020",7:30p,Detroit Pistons,,Brooklyn Nets,,,,,
206,"Wed, Jan 29, 2020",7:30p,Memphis Grizzlies,,New York Knicks,,,,,
207,"Wed, Jan 29, 2020",8:30p,Utah Jazz,,San Antonio Spurs,,,,,
208,"Wed, Jan 29, 2020",10:00p,Houston Rockets,,Portland Trail Blazers,,,,,
209,"Wed, Jan 29, 2020",10:00p,Oklahoma City Thunder,,Sacramento Kings,,,,,
210,"Thu, Jan 30, 2020",7:00p,Toronto Raptors,,Cleveland Cavaliers,,,,,
211,"Thu, Jan 30, 2020",7:00p,Charlotte Hornets,,Washington Wizards,,,,,
212,"Thu, Jan 30, 2020",7:30p,Philadelphia 76ers,,Atlanta Hawks,,,,,
213,"Thu, Jan 30, 2020",8:00p,Golden State Warriors,,Boston Celtics,,,,,
214,"Thu, Jan 30, 2020",10:30p,Utah Jazz,,Denver Nuggets,,,,,
215,"Thu, Jan 30, 2020",10:30p,Sacramento Kings,,Los Angeles Clippers,,,,,
216,"Fri, Jan 31, 2020",7:00p,Toronto Raptors,,Detroit Pistons,,,,,
217,"Fri, Jan 31, 2020",7:30p,Chicago Bulls,,Brooklyn Nets,,,,,
218,"Fri, Jan 31, 2020",8:00p,Dallas Mavericks,,Houston Rockets,,,,,
219,"Fri, Jan 31, 2020",8:00p,Memphis Grizzlies,,New Orleans Pelicans,,,,,
220,"Fri, Jan 31, 2020",9:00p,Denver Nuggets,,Milwaukee Bucks,,,,,
221,"Fri, Jan 31, 2020",9:00p,Oklahoma City Thunder,,Phoenix Suns,,,,,
222,"Fri, Jan 31, 2020",10:30p,Portland Trail Blazers,,Los Angeles Lakers,,,,,
0,"Sat, Feb 1, 2020",3:30p,Minnesota Timberwolves,,Los Angeles Clippers,,,,,
1,"Sat, Feb 1, 2020",7:00p,New York Knicks,,Indiana Pacers,,,,,
2,"Sat, Feb 1, 2020",7:00p,Miami Heat,,Orlando Magic,,,,,
3,"Sat, Feb 1, 2020",8:00p,Golden State Warriors,,Cleveland Cavaliers,,,,,
4,"Sat, Feb 1, 2020",8:00p,Brooklyn Nets,,Washington Wizards,,,,,
5,"Sat, Feb 1, 2020",8:30p,Philadelphia 76ers,,Boston Celtics,,,,,
6,"Sat, Feb 1, 2020",8:30p,Atlanta Hawks,,Dallas Mavericks,,,,,
7,"Sat, Feb 1, 2020",9:00p,Charlotte Hornets,,San Antonio Spurs,,,,,
8,"Sat, Feb 1, 2020",10:00p,Los Angeles Lakers,,Sacramento Kings,,,,,
9,"Sat, Feb 1, 2020",10:30p,Utah Jazz,,Portland Trail Blazers,,,,,
10,"Sun, Feb 2, 2020",12:30p,Denver Nuggets,,Detroit Pistons,,,,,
11,"Sun, Feb 2, 2020",2:00p,New Orleans Pelicans,,Houston Rockets,,,,,
12,"Sun, Feb 2, 2020",2:00p,Phoenix Suns,,Milwaukee Bucks,,,,,
13,"Sun, Feb 2, 2020",3:00p,Chicago Bulls,,Toronto Raptors,,,,,
14,"Mon, Feb 3, 2020",7:00p,Orlando Magic,,Charlotte Hornets,,,,,
15,"Mon, Feb 3, 2020",7:00p,New York Knicks,,Cleveland Cavaliers,,,,,
16,"Mon, Feb 3, 2020",7:00p,Dallas Mavericks,,Indiana Pacers,,,,,
17,"Mon, Feb 3, 2020",7:00p,Golden State Warriors,,Washington Wizards,,,,,
18,"Mon, Feb 3, 2020",7:30p,Boston Celtics,,Atlanta Hawks,,,,,
19,"Mon, Feb 3, 2020",7:30p,Phoenix Suns,,Brooklyn Nets,,,,,
20,"Mon, Feb 3, 2020",7:30p,Philadelphia 76ers,,Miami Heat,,,,,
21,"Mon, Feb 3, 2020",8:00p,Detroit Pistons,,Memphis Grizzlies,,,,,
22,"Mon, Feb 3, 2020",10:00p,Minnesota Timberwolves,,Sacramento Kings,,,,,
23,"Mon, Feb 3, 2020",10:30p,San Antonio Spurs,,Los Angeles Clippers,,,,,
24,"Tue, Feb 4, 2020",7:30p,Milwaukee Bucks,,New Orleans Pelicans,,,,,
25,"Tue, Feb 4, 2020",8:00p,Charlotte Hornets,,Houston Rockets,,,,,
26,"Tue, Feb 4, 2020",10:00p,Portland Trail Blazers,,Denver Nuggets,,,,,
27,"Tue, Feb 4, 2020",10:30p,San Antonio Spurs,,Los Angeles Lakers,,,,,
28,"Wed, Feb 5, 2020",7:00p,Phoenix Suns,,Detroit Pistons,,,,,
29,"Wed, Feb 5, 2020",7:30p,Orlando Magic,,Boston Celtics,,,,,
30,"Wed, Feb 5, 2020",7:30p,Golden State Warriors,,Brooklyn Nets,,,,,
31,"Wed, Feb 5, 2020",7:30p,Indiana Pacers,,Toronto Raptors,,,,,
32,"Wed, Feb 5, 2020",8:00p,Atlanta Hawks,,Minnesota Timberwolves,,,,,
33,"Wed, Feb 5, 2020",8:00p,Cleveland Cavaliers,,Oklahoma City Thunder,,,,,
34,"Wed, Feb 5, 2020",8:30p,Memphis Grizzlies,,Dallas Mavericks,,,,,
35,"Wed, Feb 5, 2020",10:00p,Denver Nuggets,,Utah Jazz,,,,,
36,"Wed, Feb 5, 2020",10:30p,Miami Heat,,Los Angeles Clippers,,,,,
