GID,ESPN ID,Pos,Name,Team,Salary,Salary Change,Points,GP,Pts/Game,Pts/G/$,Pts/G(alt),Last pts,Days ago,Schedule starting Wed 1/1
4945,0,13,"Dunn, Kris",Chi,5000,0,692.3,34,20.4,4.1,20.4,10.5,2,.2.4.6.8.01.3.5.78.0.2.45.7.
5212,0,1,"Smith Jr., Dennis",NYK,3200,200,274.5,21,13.1,4.1,13.1,0,4,1.3.5.78.0.2.4.6.8.0.2.4.6.8
5705,0,34,"Knox, Kevin",NYK,3800,-100,503,32,15.7,4.1,15.7,11.5,4,1.3.5.78.0.2.4.6.8.0.2.4.6.8
5733,0,1,"McLaughlin, Jordan",Min,3300,-300,67.3,5,13.4,4.1,13.4,0,2,12..5.7.9.1.3.5.78.0.2.45.7.
5861,0,23,"Porter, Kevin",Cle,4200,0,553,32,17.3,4.1,17.3,23.5,1,.2.45.7.9.1.34..78.0..3.5.78
5906,0,23,"Thybulle, Matisse",Phi,3000,0,372,30,12.4,4.1,12.4,0,1,..3..6..9.1.3.5.78.0.2..5..8
4697,2579321,34,"Ennis, James",Phi,3500,0,510,36,14.2,4,14.2,12,1,..3..6..9.1.3.5.78.0.2..5..8
4699,2583639,1,"Payton, Elfrid",NYK,6100,-400,390.5,16,24.4,4,24.4,20,4,1.3.5.78.0.2.4.6.8.0.2.4.6.8
4701,2968436,23,"Ingles, Joe",Uta,6100,0,808.8,33,24.5,4,24.5,24.8,2,.2.4.6.8.0.2.4.6.8.0.2..5.7.
4776,0,34,"Hezonja, Mario",Por,3000,0,298.5,25,11.9,4,11.9,0,2,1.3.5.7.9.1.3.5.78.0..3..6..
4804,0,34,"Graham, Treveon",Min,3000,-200,350.5,29,12.1,4,12.1,0,2,12..5.7.9.1.3.5.78.0.2.45.7.
4893,0,5,"Marjanovic, Boban",Dal,3000,0,179,15,11.9,4,11.9,12.5,1,.2.4.6.8.01..45.7...1.3.5.78
4901,0,23,"Valentine, Denzel",Chi,3200,0,256.5,20,12.8,4,12.8,11,2,.2.4.6.8.01.3.5.78.0.2.45.7.
4941,0,34,"Jones, Derrick",Mia,4400,0,333.3,19,17.5,4,17.5,22,2,.23.5..8.0.2..5.7.90.2.4..78
5157,0,23,"Korkmaz, Furkan",Phi,3600,0,498.5,35,14.2,4,14.2,12.2,1,..3..6..9.1.3.5.78.0.2..5..8
5200,0,12,"Mitrou-Long, Nazareth",Ind,3000,0,36,3,12,4,12,0,1,.2.4.6.8.0..3.5.7.90.2.4.6..
5699,0,23,"Brown Jr., Troy",Was,5500,-300,639.3,29,22,4,22,13,2,1.34.6.8.0.2..5.7..0.23..6.8
5700,0,5,"Robinson, Mitchell",NYK,6300,0,725.3,29,25,4,25,26.2,4,1.3.5.78.0.2.4.6.8.0.2.4.6.8
4104,3439,45,"Ibaka, Serge",Tor,7300,0,689.5,24,28.7,3.9,28.7,40.5,1,.2.4..78...2..5.78.0.2.4.6.8
4525,6592,5,"Henson, John",Cle,3500,0,203.5,15,13.6,3.9,13.6,5.5,1,.2.45.7.9.1.34..78.0..3.5.78
4589,2578213,23,"McLemore, Ben",Hou,4400,0,586,34,17.2,3.9,17.2,13.8,1,..3....89.1..45..8.0.2.4.67.
4911,0,23,"Lee, Damion",GSW,6200,0,513.5,21,24.5,3.9,24.5,32.8,1,.2.4.6.8.0.2.4.6.8.0.2.4...8
4916,0,34,"House, Danuel",Hou,5600,0,618,28,22.1,3.9,22.1,16,1,..3....89.1..45..8.0.2.4.67.
5727,0,12,"Goodwin, Brandon",Atl,3000,0,58.3,5,11.7,3.9,11.7,40.2,2,..34.6.8.0.2.4..78.0.2.4.6.8
5814,0,45,"Smailagic, Alen",GSW,3000,0,34.8,3,11.6,3.9,11.6,14.8,1,.2.4.6.8.0.2.4.6.8.0.2.4...8
5887,0,12,"Alexander-Walker, Nickeil",Nor,3000,0,315.3,27,11.7,3.9,11.7,0,3,..34.6.8.01.3..6.8.0.2.4.6.8
5928,0,12,"Jerome, Ty",Pho,3000,0,116.8,10,11.7,3.9,11.7,0,2,1.3.5.7..0.2.4.6.8.0.2.4.6.8
3765,2767,45,"Ilyasova, Ersan",Mil,5000,-600,601.5,32,18.8,3.8,18.8,32.2,2,1..4.6.8.01..4.6.8.0...4...8
4405,6446,12,"Joseph, Cory",Sac,4600,0,588,34,17.3,3.8,17.3,13.2,1,.2.4.67..0..3.5..8.0.2.4..7.
4488,6622,34,"Scott, Mike",Phi,3200,0,435,36,12.1,3.8,12.1,7.2,1,..3..6..9.1.3.5.78.0.2..5..8
4521,6605,45,"Leonard, Meyers",Mia,3800,0,478.3,33,14.5,3.8,14.5,16.8,2,.23.5..8.0.2..5.7.90.2.4..78
4572,2580913,5,"Dedmon, Dewayne",Sac,3000,0,263.5,23,11.5,3.8,11.5,0,1,.2.4.67..0..3.5..8.0.2.4..7.
